범죄별,검거단서별,2016 년,2017 년,2018 년,2019 년,2020 년
합계,현행범,144508,120745,99386,87093,67099
합계,피해자신고,489374,476766,464272,489041,475063
합계,고소,210767,196981,211890,213458,210319
합계,고발,58917,56751,56821,56086,49212
합계,자수,15898,15334,15264,13514,13905
합계,민간체포,355,281,231,311,251
합계,진정투서,84453,82823,89341,98354,106349
합계,타인신고,112226,110525,120497,126321,133367
합계,신문,4150,4307,3491,3118,2834
합계,불심검문,225983,177363,103302,79981,59552
합계,탐문정보,79795,72259,60879,58558,49967
합계,안면식별,300,237,292,256,183
합계,감식자료,831,799,539,772,441
합계,변사체,551,587,601,520,470
합계,범죄수법,775,818,599,554,373
합계,발자국,77,29,23,13,6
합계,검사지휘,1862,1513,2241,2390,3234
합계,타기관에서 이송,3143,982,1270,1702,1425
합계,범행도구등 발견,250,344,161,164,136
합계,장물,751,1031,697,402,336
합계,전과조회,137,75,82,122,111
합계,기타,256267,236413,234527,247174,224795
형법범,현행범,121151,103277,83047,72385,55662
형법범,피해자신고,277470,286056,293534,320321,314183
형법범,고소,183721,173442,187343,188374,184773
형법범,고발,3886,4183,4738,5423,5893
형법범,자수,1386,1436,1544,1526,1752
형법범,민간체포,310,252,208,280,231
형법범,진정투서,70549,69227,75128,83032,91231
형법범,타인신고,22582,22499,25454,27926,25571
형법범,신문,798,662,638,862,699
형법범,불심검문,2125,1767,1288,1053,932
형법범,탐문정보,46696,37922,33807,33335,33377
형법범,안면식별,276,227,282,245,172
형법범,감식자료,759,744,503,518,397
형법범,변사체,515,526,551,477,442
형법범,범죄수법,700,757,523,499,270
형법범,발자국,72,27,22,10,4
형법범,검사지휘,1111,954,1517,1678,2476
형법범,타기관에서 이송,334,333,386,607,519
형법범,범행도구등 발견,184,272,115,108,87
형법범,장물,746,1019,695,401,336
형법범,전과조회,109,47,57,83,89
형법범,기타,53798,47274,46542,52254,48646
재산범죄,계,389937,370121,382437,414793,422267
재산범죄,현행범,23460,20931,18359,17320,14556
재산범죄,피해자신고,114981,120588,125812,143438,148808
재산범죄,고소,111509,100950,106186,107189,105477
재산범죄,고발,1919,2227,2407,2761,3145
재산범죄,자수,857,966,976,900,1156
재산범죄,민간체포,224,182,147,155,181
재산범죄,진정투서,65797,64638,71038,79285,86947
재산범죄,타인신고,4661,3957,4027,5063,4362
재산범죄,신문,588,458,473,671,552
재산범죄,불심검문,1388,1009,843,637,631
재산범죄,탐문정보,32182,27248,25221,25217,25956
재산범죄,안면식별,226,204,267,226,154
재산범죄,감식자료,633,636,395,438,334
재산범죄,변사체,13,21,24,20,49
재산범죄,범죄수법,636,695,481,462,241
재산범죄,발자국,69,27,21,8,2
재산범죄,검사지휘,664,478,836,891,1594
재산범죄,타기관에서 이송,203,186,200,399,338
재산범죄,범행도구등 발견,113,178,68,84,56
재산범죄,장물,745,1017,694,401,336
재산범죄,전과조회,100,37,47,73,81
재산범죄,기타,28969,23488,23915,29155,27311
절도,계,119010,114263,107208,114203,111656
절도,현행범,7386,6484,5313,5242,4653
절도,피해자신고,71284,73830,70606,76223,75585
절도,고소,2531,2468,2578,2904,3028
절도,고발,51,46,73,73,92
절도,자수,415,520,489,460,433
절도,민간체포,208,158,138,136,155
절도,진정투서,582,533,551,566,672
절도,타인신고,1808,1980,1702,1866,1901
절도,신문,453,388,318,402,307
절도,불심검문,925,695,528,432,445
절도,탐문정보,21288,17801,15983,16598,15887
절도,안면식별,198,168,216,189,115
절도,감식자료,534,515,298,298,184
절도,변사체,7,4,4,6,3
절도,범죄수법,579,652,453,406,190
절도,발자국,68,24,18,6,1
절도,검사지휘,34,32,45,36,40
절도,타기관에서 이송,81,84,72,62,60
절도,범행도구등 발견,80,147,46,68,39
절도,장물,417,703,457,269,227
절도,전과조회,20,14,19,21,21
절도,기타,10061,7017,7301,7940,7618
장물,계,2117,1910,928,890,587
장물,현행범,54,22,8,68,4
장물,피해자신고,315,240,143,159,113
장물,고소,60,48,52,48,54
장물,고발,2,0,0,1,3
장물,자수,2,1,4,2,1
장물,민간체포,2,0,0,0,1
장물,진정투서,5,4,5,6,5
장물,타인신고,31,38,33,86,15
장물,신문,8,6,9,1,0
장물,불심검문,47,11,11,5,4
장물,탐문정보,894,945,306,192,166
장물,안면식별,0,0,1,0,0
장물,감식자료,0,0,0,0,0
장물,변사체,0,0,0,0,0
장물,범죄수법,0,1,0,0,0
장물,발자국,0,0,0,0,0
장물,검사지휘,4,0,6,2,4
장물,타기관에서 이송,1,1,2,2,1
장물,범행도구등 발견,0,3,0,0,0
장물,장물,197,190,107,63,64
장물,전과조회,0,0,0,0,0
장물,기타,495,400,241,255,152
사기,현행범,7801,7248,6981,6688,5763
사기,피해자신고,19088,20459,26773,34978,39549
사기,고소,88196,79924,84168,85372,83940
사기,고발,798,1135,1040,1337,1513
사기,자수,242,251,266,194,459
사기,민간체포,6,14,5,14,20
사기,진정투서,63780,62773,69393,77221,85116
사기,타인신고,1567,738,807,1472,751
사기,신문,84,30,116,244,223
사기,불심검문,263,157,184,119,104
사기,탐문정보,6875,5000,5037,5014,6070
사기,안면식별,5,10,23,17,16
사기,감식자료,54,77,70,109,109
사기,변사체,6,16,18,10,43
사기,범죄수법,49,31,23,45,43
사기,발자국,0,1,1,2,0
사기,검사지휘,512,370,648,695,1314
사기,타기관에서 이송,101,80,103,312,252
사기,범행도구등 발견,26,9,2,6,6
사기,장물,3,5,3,0,2
사기,전과조회,76,20,24,51,57
사기,기타,13704,11912,12242,16712,15783
횡령,현행범,337,270,274,299,248
횡령,피해자신고,6171,7165,8209,9177,9886
횡령,고소,14525,12645,12804,12568,12197
횡령,고발,690,654,795,833,872
횡령,자수,91,99,101,99,120
횡령,민간체포,3,3,2,0,3
횡령,진정투서,992,875,643,619,680
횡령,타인신고,360,337,362,314,348
횡령,신문,18,16,19,8,9
횡령,불심검문,134,129,109,74,60
횡령,탐문정보,1988,2365,2722,2178,2486
횡령,안면식별,13,11,16,12,11
횡령,감식자료,5,6,2,8,22
횡령,변사체,0,0,1,2,2
횡령,범죄수법,3,8,5,4,6
횡령,발자국,0,0,0,0,0
횡령,검사지휘,77,45,81,85,153
횡령,타기관에서 이송,14,13,16,16,20
횡령,범행도구등 발견,6,14,14,6,6
횡령,장물,128,118,127,69,43
횡령,전과조회,3,2,3,1,2
횡령,기타,2365,2297,2205,2264,1846
배임,현행범,3,2,0,0,2
배임,피해자신고,24,23,13,16,20
배임,고소,3018,2696,3254,2946,2799
배임,고발,304,320,444,448,572
배임,자수,3,1,1,7,3
배임,민간체포,0,0,0,0,0
배임,진정투서,59,53,53,511,33
배임,타인신고,6,7,11,7,6
배임,신문,8,9,2,6,0
배임,불심검문,1,3,1,0,0
배임,탐문정보,208,184,129,100,71
배임,안면식별,0,0,0,0,0
배임,감식자료,0,0,0,0,0
배임,변사체,0,0,0,0,0
배임,범죄수법,0,1,0,0,0
배임,발자국,0,0,0,0,0
배임,검사지휘,18,15,31,38,41
배임,타기관에서 이송,1,4,1,2,3
배임,범행도구등 발견,0,0,0,0,0
배임,장물,0,1,0,0,0
배임,전과조회,0,0,0,0,0
배임,기타,1372,998,956,924,674
손괴,현행범,7879,6905,5783,5023,3886
손괴,피해자신고,18099,18871,20068,22885,23655
손괴,고소,3179,3169,3330,3351,3459
손괴,고발,74,72,55,69,93
손괴,자수,104,94,115,138,140
손괴,민간체포,5,7,2,5,2
손괴,진정투서,379,400,393,362,441
손괴,타인신고,889,857,1112,1318,1341
손괴,신문,17,9,9,10,13
손괴,불심검문,18,14,10,7,18
손괴,탐문정보,929,953,1044,1135,1276
손괴,안면식별,10,15,11,8,12
